"Chile_CASEN2020 input data from R datafile"

"N complete non-extreme",24772
"WN complete non-extreme",24772
"N total",62911
"N Any Missing",0
"WN Any missing",0

"Item","Severity","SE severity","Infit","SE infit","Outfit","N Yes on complete non-extreme sample","Perc Yes on complete non-extreme sample"
87,1.70361568123814,1.71707241308442,1.6853147144758,1.70215498162883
88,1.70727128894817,1.76625067630933,1.79451371861749,1.70819379217771
89,1.7632204606488,1.85073687784274,2.08042569635595,1.79451371861749
90,1.85073687784274,1.89519992063414,2.12921853583033,1.85903562517564
91,1.96690706466296,1.89519992063414,2.61317927137769,2.08042569635595
92,2.09537719424509,1.96690706466296,2.93015409799827,2.22499687176178
93,2.14085515131934,2.07600068895378,3.42915987244818,2.45727266413818
94,2.43827644134159,2.0983981016129,3.64053608962208,2.84745420303477
95,2.70776040819416,2.14085515131934,4.23389186895063,3.21797476693953
96,2.80590127085743,2.48745470456649,5.24395683939636,3.61484325326808
97,2.90333354462056,2.70776040819416,6.9543995335706,4.32572489434149
98,3.14509267960424,2.80367397685077,10.5994786278566,5.9807785937265
99,3.37058392806904,2.83362501981021,17.2525177525742,10.2400365471844
100,6.28095077010343,6.28095077010344,65.8218254971226,84.8586729638495


Rasch log-lik 44848.763
