"Chile_CASEN2020 input data from R datafile"

"N complete non-extreme",24772
"WN complete non-extreme",24772
"N total",62911
"N Any Missing",0
"WN Any missing",0

"Item","Severity","SE severity","Infit","SE infit","Outfit","N Yes on complete non-extreme sample","Perc Yes on complete non-extreme sample"
"r8a","-2.79907171911441","0.0188125751972263","1.32841942649476","0.00918184677935293","5.11254331612588","20316","82.0119489746488"
"r8b","-1.35564189713531","0.0171285948390812","1.01132497296143","0.00907087574153912","1.54447366342496","14464","58.3885031487163"
"r8c","-1.77586022793741","0.0172206105516797","0.910963605833994","0.00900517657087207","1.10667816530547","15990","64.5486839980623"
"r8d","1.01344933522664","0.0207773702619073","0.942078075852712","0.0124350090569811","0.840188337341657","5595","22.5859841756822"
"r8e","-0.775017413110412","0.0173463408859402","0.78691850987133","0.00933039589448199","0.707696035458037","11898","48.0300339092524"
"r8f","1.12525159193632","0.0211386309695109","0.994494527003268","0.0127333311362772","0.768441895641711","5397","21.7866946552559"
"r8g","1.33510174025123","0.0218686781979789","0.735303994759773","0.0133390896924699","0.476057317306003","4747","19.1627644114323"
"r8h","3.23179035462111","0.0333186971872652","0.965436791835102","0.0231406801308041","0.577903584556737","1132","4.56967544001292"

"Raw-score","Severity","Error","N cases","W cases","W cases relative"
0,-3.90727874246897,1.56515079336327,36262,3790702.1256845,0.577838073372834
1,-2.97848869408068,1.19381676481935,6276,659681.908219527,0.100559028445331
2,-1.82785972925584,0.98927456299025,4151,431691.721197483,0.0658052002497328
3,-0.919824772242464,0.943064106633544,4348,454106.437169251,0.0692220016397883
4,-0.0319638432634314,0.937200147671875,3730,385590.445085509,0.0587777231002952
5,0.848099010243024,0.944256227309725,2499,250597.454184449,0.0381999812480468
6,1.83208247145507,1.01810305687359,1874,193126.041163298,0.0294392900955707
7,3.01615700731856,1.24690551359102,1894,198612.254606295,0.0302755845077679
8,4.20912653421721,1.56515079336327,1877,196037.612689684,0.0298831173406329

"Reliab.",0.754717612575504
"Reliab. flat",0.774113641260657


Distribution of valid responses 
Num valid,Num cases,Pct cases,Wt cases,Wt pct,Pct if any valid,Wt pct if any valid
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,62911,100,6560146,10427.6612992958,100,10427.6612992958

Missing by item if any valid
Item,Num missing,Pct missing, Wt missing, Wt pct missing
"r8a",0,0,0,0
"r8b",0,0,0,0
"r8c",0,0,0,0
"r8d",0,0,0,0
"r8e",0,0,0,0
"r8f",0,0,0,0
"r8g",0,0,0,0
"r8h",0,0,0,0

Residual correlation
"","r8b","r8c","r8d","r8e","r8f","r8g","r8h"
"r8a","-0.181656424841124","-0.219235231848771","-0.178565334998123","-0.0985907932709448","-0.130346233236866","-0.127950497815629","-0.142859375309268"
"r8b","","0.223137325652646","-0.068383294150739","0.0276843025469754","-0.0711812163008467","-0.0598716118100706","-0.08844874737862"
"r8c","","","0.0307564531360636","0.123155743602676","-0.0729855142391991","0.00996420192761432","-0.0410479393238311"
"r8d","","","","0.129838437126163","0.00851875021929748","0.208177148070858","0.0705275628160584"
"r8e","","","","","0.097497817729501","0.164829018890612","0.0202193948219853"
"r8f","","","","","","0.212264038467408","0.103894229228151"
"r8g","","","","","","","0.231716334177423"

############# Detailed output#############
Observed response proportion
"Raw score","r8a","r8b","r8c","r8d","r8e","r8f","r8g","r8h"
1,0.77121047885338,0.0842458660888818,0.136695809713727,0.00784784534401095,0,0,0,0
2,0.685937292495645,0.435542360604004,0.571954969815294,0.0298810019663618,0.227080832955554,0.0340122526538897,0.0132753526318224,0.00231593687742844
3,0.842209591897722,0.716486691097317,0.813676942868021,0.0703073071242021,0.419777144550985,0.094899106184375,0.0349317287203224,0.00771148755705438
4,0.909420526433859,0.858081447355153,0.892065007010091,0.189221228875852,0.838370048412307,0.193040500984591,0.103831473438831,0.0159697674893171
5,0.91022733256738,0.876515975666134,0.941580277476054,0.533635175301109,0.942204517056173,0.400401148724574,0.33752654018169,0.0579090330268859
6,0.902592369049194,0.891898060592383,0.957131791955347,0.718443749655807,0.965807182116146,0.668597736831326,0.759996288641895,0.135532821157901
7,0.944881228341014,0.957218774398506,0.990034487498222,0.908681810044514,0.979041122340006,0.919051476213419,0.979484046577599,0.32160705458672

Predicted response proportion
"Raw score","r8a","r8b","r8c","r8d","r8e","r8f","r8g","r8h"
1,0.559302496771044,0.13206056510865,0.201034990448198,0.0123563414815602,0.0738943344489759,0.0110493008543961,0.00895773143213783,0.00134423945503762
2,0.790633089103572,0.367663240384443,0.515213283477144,0.0391451372132358,0.219512532942644,0.0350507309202942,0.0284759258493969,0.00430606010927025
3,0.904674363590248,0.645147562791602,0.752939090708439,0.0917244623196022,0.445568577409922,0.082371459399698,0.0672340208412631,0.0103404629392264
4,0.961239303636101,0.844881873166489,0.8954693754463,0.202340383295824,0.738642047973983,0.182800239479394,0.150641899694416,0.0239848773074917
5,0.982752800070195,0.928627763987026,0.952623212734023,0.446800312780174,0.875493288712142,0.409325678632566,0.344901300063962,0.0594756430199125
6,0.992919488006053,0.97017735423392,0.980360804005713,0.703591374620385,0.947005677285705,0.671786958758836,0.604022969181673,0.130135373907715
7,0.998305030182994,0.992821469075018,0.995284398758199,0.923278192657773,0.987170858798957,0.91420263932574,0.894169538595244,0.294767872606076

Observed and expected respondent infit distribution (weighted)
"Percentile","Obs infit","Pred infit","Obs outfit","Pred outfit"
