"","estim.national","moes.national","se.m.national","se.s.national","deff.national","se.national","var.national","cv.national","CI.L","CI.U"
"ModerateSevere",0.198102159394927,0.00352021125192036,0.000774071685942948,0.00199524363917411,2.09177189997881,0.00214013648037766,4.58018415464329e-06,0.0108031961232245,0.194592335567107,0.201611983222746
"Severe",0.0355323436591626,0.00147948938534931,0.000497064876443257,0.000749643260037786,1.90666942779493,0.000899465679564057,8.0903850871363e-07,0.0253139980912043,0.0340572199446775,0.0370074673736476
