"","comuna","Severe","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"11",2201,0.0322211575578027,514,146,2,144,0.00478817774881003,0.00732685787338631,1.53549540235071,0.00875268487099829,7.66094924510024e-05,0.2716440231949,0.0178667543693655,0.0465755607462399,3.52054794520548,0.212451980280445,-0.00689655172413794,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"12",2203,0.0445738448315698,69,7,2,5,0.0177175397874975,0.0236102236974979,1.49403310330591,0.029518703886984,0.000871353879167446,0.662242712032711,-0.00383682954308398,0.0929845192062236,9.85714285714286,0.0557779310184094,-0.166666666666667,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"13",2301,0.0825515547331098,121,23,2,21,0.0184499002058219,0.0222361275136427,1.52062042152668,0.0288936703173509,0.000834844184407763,0.350007585087458,0.0351659354126544,0.129937174053565,5.26086956521739,0.122186425460344,-0.0454545454545454,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"14",2302,0.0507762423201583,37,11,1,10,0.0301656493537206,0.0176773568238186,0.524355994654287,0.0349636288907234,0.00122245534520823,0.688582441179244,-0.00656410906062815,0.108116593700945,3.36363636363636,-0.201234002261648,-0.1,0,"Excluir","Excluir","Excluir","Excluir","Incluir"
"15",3101,0.0322819697292343,1390,299,2,297,0.00318811187132903,0.00373969478872543,1.15179355115902,0.00491420130000076,2.41493744169292e-05,0.152227430395937,0.024222679597233,0.0403412598612355,4.64882943143813,0.0416006157621877,-0.00335570469798663,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"16",3102,0.0230963610138647,145,50,1,49,0.00879742944843433,0.0116381044058738,1.483619256149,0.014589045173081,0.000212840239062198,0.631659903667216,-0.000829673069988185,0.0470223950977175,2.9,0.254536450604738,-0.0204081632653061,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"17",3103,0.0460495926326824,113,23,2,21,0.0145268610920148,0.0166934067663658,1.53365693274496,0.022129155488948,0.000489699522654039,0.48055051573339,0.00975777763080758,0.0823414076345571,4.91304347826087,0.136378993923713,-0.0454545454545454,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"18",3201,0.0495580774862674,87,36,1,35,0.0150219533001439,0.0175239014497089,0.957593837710786,0.0230812955219332,0.000532746202970814,0.465742351049212,0.0117047528302969,0.0874114021422379,2.41666666666667,-0.0299337616159155,-0.0285714285714285,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"19",3202,0.0384311037397356,126,45,2,43,0.0118746576451969,0.0122386121859993,0.958503528718607,0.0170525987001959,0.000290791122429924,0.443718682025895,0.0104648418714143,0.0663973656080569,2.8,-0.0230535951563295,-0.0227272727272727,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"20",3301,0.0251963185258604,389,99,2,97,0.00495898016672394,0.00610161308007466,1.02392806840411,0.00786264373305185,6.18211664728996e-05,0.312055260175489,0.0123015828036554,0.0380910542480655,3.92929292929293,0.00816854748968025,-0.010204081632653,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
