"","comuna","ModerateSevere","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"1",1101,0.202442418132191,1709,262,2,260,0.00421674761178141,0.0118463697558858,1.88363492999055,0.0125744756079381,0.00015811743681463,0.0621138382160956,0.181820278135173,0.22306455812921,6.52290076335878,0.159994714345213,-0.00383141762452111,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"2",1107,0.256054286862177,768,139,1,138,0.00727803981513274,0.0166998126737457,1.47608024826941,0.0182168495324755,0.000331853606888854,0.0711444817257867,0.226178653628917,0.285929920095437,5.52517985611511,0.105206922908501,-0.00724637681159424,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"3",1401,0.222395346080241,62,16,2,14,0.0197635697227905,0.0722245922416919,2.16318048107435,0.0748798398279955,0.00560699041266627,0.336696972970732,0.0995924087623286,0.345198283398154,3.875,0.404584515156295,-0.0666666666666667,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"4",1402,0.00814485253426122,25,3,1,2,0.0131126518105977,0.00936024704383927,1.02329290257008,0.0161107374824269,0.000259555862227674,1.97802690897806,-0.0182767569369188,0.0345664620054413,8.33333333333333,0.00317630489592019,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"5",1404,0.221610047819159,23,3,1,2,0.0445570900262639,0.105493788133304,1.98314557567441,0.114517568985387,0.0131142736063229,0.516752602656525,0.0338012346831237,0.409418860955194,7.66666666666667,0.147471836351161,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"6",1405,0.18553562621772,64,6,2,4,0.0291658208032018,0.0575205292927223,2.04215870300403,0.0644922971620596,0.0041592563932394,0.347600611681878,0.0797682588719417,0.291302993563497,10.6666666666667,0.107809521000417,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"7",2101,0.199637896564323,1516,298,1,297,0.00488449912096139,0.0110965464233515,1.51443139826473,0.0121240122974314,0.000146991674188268,0.0607300142211478,0.179754516396536,0.219521276732111,5.08724832214765,0.125862526012224,-0.00336700336700346,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"8",2102,0.300725181750769,53,13,1,12,0.0357127921282859,0.0504652454063913,0.866114393859953,0.0618234948504649,0.00382214451552546,0.205581369975535,0.199334650196006,0.402115713305531,4.07692307692308,-0.0435128219955153,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"9",2103,0.361650610560764,17,3,1,2,0.0472636628810703,0.0860912968427581,0.665661522473993,0.0982118384972166,0.00964556522100335,0.271565526586372,0.200583195425328,0.522718025696199,5.66666666666667,-0.0716439594698585,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"10",2104,0.18754102218916,67,13,2,11,0.0232005013722269,0.0396046531737676,0.878927866626004,0.0458998019269922,0.00210679181693712,0.244745396986779,0.112265347028893,0.262816697349427,5.15384615384615,-0.0291469950715176,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"11",2201,0.153311832274975,514,146,2,144,0.00774265574130777,0.0200783161987069,2.13942959809536,0.0215194679140462,0.000463087499303664,0.140364038409309,0.11801990489594,0.188603759654011,3.52054794520548,0.452056307940009,-0.00689655172413794,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"12",2203,0.175116580679736,69,7,2,5,0.0251556177218849,0.0495678152377549,1.64003053157462,0.0555857302768779,0.00308977341041382,0.317421286214677,0.083955983025656,0.266277178333815,9.85714285714286,0.0722615116293931,-0.166666666666667,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
